SA2_2023_V1_00_Origin_CODE,SA2_2023_V1_00_Origin_NAME,SA2_2023_V1_00_Destination_CODE,SA2_2023_V1_00_Destination_NAME,work_2018_Work_at_home,work_2018_Drive_a_private_car_truck_or_van,work_2018_Drive_a_company_car_truck_or_van,work_2018_Passenger_in_a_car_truck_van_or_company_bus,work_2018_Public_bus,work_2018_Train,work_2018_Bicycle,work_2018_Walk_or_jog,work_2018_Ferry,work_2018_Other,work_2018_Total_stated,work_2023_Work_at_home,work_2023_Drive_a_private_car_truck_or_van,work_2023_Drive_a_company_car_truck_or_van,work_2023_Passenger_in_a_car_truck_van_or_company_bus,work_2023_Public_bus,work_2023_Train,work_2023_Bicycle,work_2023_Walk_or_jog,work_2023_Ferry,work_2023_Other,work_2023_Total_stated
100600,Ahipara,100500,Tangonge,0,21,0,0,0,0,0,0,0,0,27,0,12,0,0,0,0,0,0,0,0,15
100600,Ahipara,100600,Ahipara,63,18,0,0,0,0,0,0,0,0,90,102,21,0,0,0,0,0,6,0,0,135
100600,Ahipara,100700,Kaitaia East,0,99,24,6,0,0,0,0,0,0,129,0,123,30,6,0,0,0,0,0,0,162
100600,Ahipara,100800,Kaitaia West,0,57,6,0,0,0,0,0,0,0,69,0,69,6,0,0,0,0,0,0,0,78
100600,Ahipara,100900,Rangitihi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
100600,Ahipara,101101,Doubtless Bay,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
100700,Kaitaia East,100100,North Cape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
100700,Kaitaia East,100200,Rangaunu Harbour,0,18,9,0,0,0,0,0,0,0,33,0,21,0,0,0,0,0,0,0,0,33
100700,Kaitaia East,100500,Tangonge,0,15,0,0,0,0,0,0,0,0,21,0,18,0,0,0,0,0,0,0,0,24
100700,Kaitaia East,100600,Ahipara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
100700,Kaitaia East,100700,Kaitaia East,120,171,36,21,0,0,0,36,0,0,393,126,225,48,27,0,0,0,21,0,0,450
100700,Kaitaia East,100800,Kaitaia West,0,48,0,6,0,0,0,0,0,0,60,0,93,0,0,0,0,0,0,0,0,108
100700,Kaitaia East,100900,Rangitihi,0,9,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,15
100700,Kaitaia East,101101,Doubtless Bay,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9
100700,Kaitaia East,102501,Waipapa,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
100700,Kaitaia East,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
100700,Kaitaia East,103501,Kaikohe,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
100700,Kaitaia East,107100,Whangarei Central,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12
100700,Kaitaia East,107901,Port-Limeburners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
100800,Kaitaia West,100100,North Cape,0,9,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,12
100800,Kaitaia West,100200,Rangaunu Harbour,0,27,0,6,0,0,0,0,0,0,39,0,27,0,9,0,0,0,0,0,0,45
100800,Kaitaia West,100400,Karikari Peninsula,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
100800,Kaitaia West,100500,Tangonge,0,24,0,0,0,0,0,0,0,0,30,0,18,6,0,0,0,0,0,0,0,33
100800,Kaitaia West,100600,Ahipara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
100800,Kaitaia West,100700,Kaitaia East,0,267,33,21,0,0,0,24,0,0,348,0,276,63,30,0,0,0,30,0,0,402
100800,Kaitaia West,100800,Kaitaia West,114,114,9,6,0,0,0,27,0,0,273,153,117,15,12,0,0,0,30,0,0,327
100800,Kaitaia West,100900,Rangitihi,0,6,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,18
100800,Kaitaia West,101000,Oruru-Parapara,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
100800,Kaitaia West,101101,Doubtless Bay,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,21
