SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_usual_residence_easting,SA2_usual_residence_northing,SA2_code_workplace_address,SA2_name_workplace_address,SA2_workplace_easting,SA2_workplace_northing,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
232300,Hokowhitu South,1824295.687,5528246.257,231200,West End,1821039.784,5528146.019,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
161100,Wattle Downs West,1766746.422,5897794.34,134300,Karangahape,1756572.457,5919333.108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
227000,Bulls,1802847.076,5549610.184,228900,Palmerston North Airport,1822837.938,5534271.593,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
183800,Leamington Central,1817355.766,5801228.639,184900,Maungatautari,1828095.227,5792108.736,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18
138600,Blockhouse Bay North East,1752165.6,5913212.274,144200,Ellerslie West,1760921.739,5914811.859,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
329100,Somerfield East,1570076.743,5177012.032,319100,Islington-Hornby Industrial,1560282.418,5177698.809,-999,39,12,-999,-999,-999,-999,-999,-999,-999,48
229500,Westbrook,1818925.729,5529571.668,230800,Terrace End,1823693.948,5530989.122,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
323700,Queenspark,1575507.054,5186348.695,317300,Belfast East,1570680.635,5189324.369,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,24
128300,McLaren Park,1744424.408,5915113.428,127800,Henderson Valley Park,1744094.89,5915859.56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
194600,Gate Pa,1876388.153,5821077.944,192600,Matua North,1875494.744,5826665.701,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
355800,West Otago,1305894.118,4917268.08,360100,Gore Central,1286602.801,4886857.104,-999,45,12,-999,-999,-999,-999,-999,-999,-999,60
124500,Te Atatu Peninsula Central,1747286.048,5922041.092,124800,Te Atatu Peninsula West,1746837.709,5920643.292,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15
128900,Glendene North,1746937.627,5915828.719,127000,Te Atatu South-Central,1747032.517,5919143.072,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
123200,Te Atatu Peninsula North West,1747044.953,5923099.742,122000,Swanson,1741248.281,5918942.99,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
138200,Sandringham East,1754885.82,5915570.179,145400,Panmure Glen Innes Industrial,1764932.163,5916434.95,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
249700,Newlands South,1752628.916,5433606.056,253300,Berhampore,1748449.487,5423838.853,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
325600,Burwood,1574523.183,5184104.096,330700,Bromley North,1576269.078,5179749.509,-999,21,6,-999,-999,-999,-999,-999,-999,-999,33
159000,Totara Heights,1769081.318,5903257.967,118600,North Harbour,1753108.632,5931899.093,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
160500,Weymouth East,1766988.602,5899335.858,118600,North Harbour,1753108.632,5931899.093,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12
148000,Eastern Beach,1770538.249,5917091.377,147900,Auckland Airport,1757873.858,5904865.704,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30
149200,Sunnyhills East,1768515.657,5914397.332,147800,Half Moon Bay West,1769016.729,5916091.797,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12
139200,Orakei West,1761823.879,5919443.754,142200,Greenlane North,1759763.849,5915654.377,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
155800,Ferguson,1767581.974,5907224.951,153500,Otara West,1766075.284,5908393.018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
134200,Mount Albert Central,1753581.318,5916670.188,135800,St Lukes,1754291.715,5916839.873,-999,12,-999,-999,-999,-999,-999,12,-999,-999,30
150400,Howick West,1771063.441,5915253.954,145400,Panmure Glen Innes Industrial,1764932.163,5916434.95,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,21
234000,Kere Kere,1796207.829,5511155.473,234800,Ohau-Manakau,1786505.604,5492327.677,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
214400,Greenmeadows South,1932438.252,5617714.139,212300,Bay View,1932067.477,5627112.468,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15
229900,Highbury East,1819605.31,5528924.931,231000,Papaioea South,1822966.942,5529853.75,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
246700,Eastern Bays ,1759892.674,5428314.947,245700,Gracefield,1760116.522,5432820.526,-999,18,15,-999,-999,-999,-999,-999,-999,-999,36
315900,Sovereign Palms,1573131.406,5198362.777,314400,Rangiora Central,1567208.113,5205478.892,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,36
321900,Awatea North,1562722.057,5177699.481,324200,Riccarton Central,1567603.839,5180184.749,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24
330900,Opawa,1572703.456,5177374.728,322300,Sockburn South,1564738.003,5178577.903,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
137900,Wesley West,1753823.781,5914967.045,145000,Onehunga Central,1759183.001,5912539.361,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
